Date,Province,CovidCase
2021-01-01,An Giang,0
2021-01-01,Bà Rịa - Vũng Tàu,0
2021-01-01,Bắc Giang,0
2021-01-01,Bắc Kạn,0
2021-01-01,Bạc Liêu,1
2021-01-01,Bắc Ninh,0
2021-01-01,Bến Tre,0
2021-01-01,Bình Định,0
2021-01-01,Bình Dương,0
2021-01-01,Bình Phước,0
2021-01-01,Bình Thuận,0
2021-01-01,Cà Mau,0
2021-01-01,Cần Thơ,0
2021-01-01,Cao Bằng,0
2021-01-01,Đà Nẵng,0
2021-01-01,Đắk Lắk,0
2021-01-01,Đắk Nông,0
2021-01-01,Điện Biên,0
2021-01-01,Đồng Nai,0
2021-01-01,Đồng Tháp,0
2021-01-01,Gia Lai,0
2021-01-01,Hà Giang,0
2021-01-01,Hà Nam,0
2021-01-01,TP. Hà Nội,0
2021-01-01,Hà Tĩnh,0
2021-01-01,Hải Dương,0
2021-01-01,Hải Phòng,0
2021-01-01,Hậu Giang,0
2021-01-01,TP. Hồ Chí Minh,0
2021-01-01,Hòa Bình,2
2021-01-01,Hưng Yên,2
2021-01-01,Khánh Hòa,0
2021-01-01,Kiên Giang,0
2021-01-01,Kon Tum,0
2021-01-01,Lai Châu,0
2021-01-01,Lâm Đồng,0
2021-01-01,Lạng Sơn,0
2021-01-01,Lào Cai,0
2021-01-01,Long An,0
2021-01-01,Nam Định,0
2021-01-01,Nghệ An,0
2021-01-01,Ninh Bình,0
2021-01-01,Ninh Thuận,0
2021-01-01,Phú Thọ,0
2021-01-01,Phú Yên,0
2021-01-01,Quảng Bình,0
2021-01-01,Quảng Nam,0
2021-01-01,Quảng Ngãi,0
2021-01-01,Quảng Ninh,2
2021-01-01,Quảng Trị,0
2021-01-01,Sóc Trăng,0
2021-01-01,Sơn La,0
2021-01-01,Tây Ninh,0
2021-01-01,Thái Bình,0
2021-01-01,Thái Nguyên,0
2021-01-01,Thanh Hóa,0
2021-01-01,Thừa Thiên-Huế,0
2021-01-01,Tiền Giang,1
2021-01-01,Trà Vinh,0
2021-01-01,Tuyên Quang,0
2021-01-01,Vĩnh Long,0
2021-01-01,Vĩnh Phúc,0
2021-01-01,Yên Bái,0
