Date,python,https://image.flaticon.com/icons/png/512/5011/5011450.png,javascript,java,php,c++,objective-c,r,swift,c,ruby,vb.net,perl
12/1/2008,3.59886598,13.25500055,4.750335954,7.32130744,4.007832411,5.305135621,0.681165206,0.011888607,0,2.054540651,1.672240373,1.679436265,0.890871008
1/1/2009,3.743822921,13.5697517,4.898567392,7.606639317,3.963066584,5.520307312,0.756948824,0.022057667,0.001271133,2.012123759,1.551049636,1.663571022,0.929343819
2/1/2009,3.687696983,14.18203552,5.067965376,7.358513289,4.152728849,5.404728626,0.922354571,0.023761413,0.002418843,1.931691474,1.463536229,1.683600184,0.930389397
3/1/2009,3.736131455,14.54698283,5.056435622,7.183866533,4.18873535,5.323449299,1.082392402,0.027706576,0.003405133,1.93630313,1.444280009,1.736569708,0.891656566
4/1/2009,3.743039683,14.93338291,5.127917796,7.109824382,4.302048714,5.118204962,1.249751344,0.037465874,0.003405133,1.957221548,1.528210139,1.733102343,0.88953112
5/1/2009,3.7885168,15.05088044,5.202145266,7.142716862,4.423862179,5.013412283,1.435410781,0.037359652,0.004969895,2.022743798,1.573698891,1.715277605,0.819748362
6/1/2009,3.732301312,14.80104748,5.306003888,7.190496495,4.743147493,4.823465446,1.60551777,0.030759343,0.004412513,1.975154193,1.617086106,1.712346665,0.809188222
7/1/2009,3.732600385,14.56403979,5.307366937,7.213424981,5.127366028,4.767494849,1.790100797,0.052177958,0.003264803,1.931514766,1.598948225,1.666429107,0.7810461
8/1/2009,3.680329235,14.194549,5.460693328,7.145242777,5.584136314,4.589747101,1.934422722,0.077210262,0.003511596,1.834176988,1.572495121,1.617668122,0.79932025
9/1/2009,3.666409151,13.71605186,5.539965734,7.077738586,6.054478375,4.520173994,2.020225831,0.150804139,0.004733828,1.751106256,1.52535119,1.556276567,0.799803032
10/1/2009,3.672793596,13.55162526,5.552610246,7.045057257,6.441125287,4.504760218,2.043123307,0.18976004,0.003724144,1.804966217,1.484487357,1.456870953,0.802205893
11/1/2009,3.744374549,13.23367703,5.609725603,6.984233777,6.724405604,4.532225265,2.087647369,0.235479493,0.004059079,1.951561564,1.518353497,1.380960081,0.795272205
12/1/2009,3.869548133,12.88599135,5.749607197,7.011338266,6.96882524,4.503756982,2.08139664,0.246451695,0.004593081,2.068597392,1.513082017,1.367474919,0.773950811
1/1/2010,4.040867131,12.42987069,5.778381138,7.330186717,7.163185053,4.537297122,2.094777761,0.259605913,0.003359998,2.181971864,1.521530886,1.269402034,0.753941513
2/1/2010,4.167108118,12.06264308,5.891703361,7.557246261,7.202598299,4.66556668,2.124838917,0.229502081,0.003036803,2.297503978,1.539297539,1.245777665,0.757595079
3/1/2010,4.176939948,11.76819754,5.907998751,7.880754319,7.338815646,4.668473491,2.145893944,0.242555255,0.002481726,2.298607522,1.533898907,1.267763994,0.752149134
4/1/2010,4.090471038,11.64093999,5.94839816,7.996544921,7.397013541,4.748409086,2.213746476,0.257635237,0.002237643,2.268697402,1.493911618,1.277299395,0.729626397
5/1/2010,4.020316747,11.54300919,5.968010788,8.177628129,7.433631081,4.801343556,2.302053868,0.26874301,0.002090892,2.2708309,1.488435419,1.223726761,0.701246194
6/1/2010,3.9439117,11.47175084,6.046116542,8.055884836,7.370757844,4.925022247,2.375322064,0.290874734,0.002812953,2.247679355,1.488922683,1.181779379,0.71354838
7/1/2010,3.963844602,11.38929149,6.141772621,7.9410985,7.4709446,4.791297258,2.561508623,0.313438684,0.002244707,2.20803743,1.481004885,1.137337152,0.701671757
8/1/2010,3.952992331,11.2626742,6.254322552,7.71575031,7.649497972,4.684092475,2.717648102,0.349252086,0.002876418,2.209787302,1.527026964,1.074479257,0.723674899
9/1/2010,3.962374396,11.04098417,6.360587109,7.703925671,7.726114788,4.584474851,2.795843452,0.362470815,0.002400574,2.186673081,1.532469302,1.0253831,0.728063708
10/1/2010,4.025854964,10.86662522,6.409628123,7.67269644,7.604477393,4.570913866,2.837954605,0.376092206,0.002013323,2.185229036,1.523822375,1.013383083,0.77412722
11/1/2010,3.982921271,10.75885783,6.469091348,7.741064507,7.603903803,4.523797854,2.849462491,0.381680147,0.001579904,2.252002838,1.484011823,1.021628779,0.760972938
12/1/2010,3.842115338,10.60348874,6.617971599,7.887444476,7.639008447,4.542073655,2.73977671,0.368726676,0.001827155,2.250515673,1.478040529,0.975552939,0.761216723
1/1/2011,3.785419408,10.41148385,6.71845234,8.042984605,7.631592604,4.588063075,2.696718195,0.342122747,0.001948843,2.184633933,1.466379392,0.989102636,0.70892274
2/1/2011,3.775582293,10.30018078,6.758589607,8.155917786,7.714867077,4.521564258,2.74435423,0.342503821,0.002346495,2.127965158,1.461643592,0.990695109,0.674645991
3/1/2011,3.680099861,10.16366761,6.806878876,8.257586989,7.905670652,4.428681463,2.803880129,0.358956905,0.002942958,2.092152949,1.495650824,0.968813248,0.637141875
4/1/2011,3.627507854,9.998834118,6.938915966,8.297919888,8.036691394,4.329744618,2.953744213,0.388859315,0.003283016,2.036324302,1.537032509,0.972080057,0.618734695
5/1/2011,3.614007816,9.949042166,6.96976489,8.370110951,8.099260338,4.199409016,3.124311237,0.409738399,0.003104649,1.97665612,1.554399193,0.978336502,0.590240707
6/1/2011,3.585309224,9.918947059,7.161988651,8.329176411,8.111241126,4.092291623,3.254783359,0.436720063,0.002957769,1.966941832,1.567376261,0.950798448,0.584684436
7/1/2011,3.585288482,9.839786458,7.422990466,8.2907797,8.220505987,4.023818368,3.404758751,0.449144404,0.004620584,1.900105052,1.579114594,0.93091614,0.599338907
8/1/2011,3.555562152,9.735600423,7.740980382,8.228697902,8.280779224,3.931204426,3.517208261,0.474719405,0.005518694,1.821554187,1.600735173,0.92503405,0.594333136
9/1/2011,3.544785497,9.616660121,7.907943516,8.209358916,8.262117876,3.831878483,3.487116106,0.495045699,0.00587104,1.76994826,1.595721863,0.882650957,0.576337791
10/1/2011,3.557525309,9.43468457,8.035435584,8.188675073,8.239385469,3.9143957,3.432982163,0.532302786,0.006655789,1.827488683,1.602572483,0.874470085,0.570578315
11/1/2011,3.567702145,9.280527943,8.077072978,8.361613451,8.210573062,3.967636454,3.411876303,0.554065391,0.006600476,1.87463222,1.606863742,0.85197822,0.567418284
12/1/2011,3.536465066,9.166831452,8.071399215,8.514430866,8.089379554,4.042625872,3.313050959,0.582049339,0.004596841,1.931641253,1.617695644,0.843125483,0.540499645
1/1/2012,3.545186363,9.086254114,8.063727059,8.63943088,8.025231742,4.087639236,3.243539825,0.591400129,0.004135558,1.975606634,1.599310049,0.84431093,0.52340779
2/1/2012,3.580675854,8.997847234,8.068431915,8.774525141,8.04722776,4.13797806,3.219411872,0.60257507,0.004607519,1.989006169,1.625756091,0.85024474,0.52475345
3/1/2012,3.619907288,8.914076953,8.084604402,8.941854702,8.085093954,4.063287483,3.147849695,0.61309086,0.003872263,1.977101819,1.635100254,0.830484435,0.505388448
4/1/2012,3.671753836,8.819793787,8.147294339,9.039349939,8.106409524,4.06259627,3.099062343,0.632187037,0.004095811,1.986854948,1.621709599,0.824994418,0.486590209
5/1/2012,3.732943465,8.745958977,8.25566355,9.077913181,8.124428538,3.963813948,3.034678344,0.644149475,0.004602952,1.969075909,1.590250048,0.816449474,0.478614911
6/1/2012,3.816441301,8.677226254,8.322805524,9.032183421,8.137739533,3.892561065,2.967808465,0.674222429,0.004181167,1.938561566,1.550388813,0.782777098,0.494211511
7/1/2012,3.900000229,8.678677707,8.447261354,8.991387104,8.190607964,3.813285458,2.953450755,0.701165584,0.003574893,1.883998285,1.511267046,0.754519632,0.488889837
8/1/2012,3.976253442,8.63531306,8.607515839,8.870933989,8.245998729,3.760373171,2.975637251,0.722624619,0.003692927,1.802860875,1.474860488,0.754126229,0.506753282
9/1/2012,4.009798135,8.618100472,8.642124535,8.762578379,8.295627794,3.681752169,2.88163519,0.752828672,0.003980242,1.772839474,1.465746984,0.770032903,0.515279772
10/1/2012,4.07134785,8.59634949,8.58801532,8.754121049,8.246479275,3.730820819,2.857652347,0.792006444,0.003623108,1.825418409,1.473877159,0.772505208,0.511359456
11/1/2012,4.130484107,8.521200247,8.539874714,8.897211318,8.225606908,3.869269176,2.797798579,0.825735688,0.003282771,1.904799548,1.474105744,0.809458647,0.484545793
12/1/2012,4.174835326,8.403856244,8.541841005,9.009987967,8.209046802,3.966467071,2.740167529,0.847934055,0.002880728,1.951031049,1.464792063,0.828158251,0.473129806
1/1/2013,4.180426379,8.334597029,8.53305247,9.018482784,8.161208336,4.003869373,2.662878593,0.885511444,0.002822169,1.992047781,1.466253258,0.841947351,0.449028555
2/1/2013,4.264945407,8.263090895,8.624783471,9.051186706,8.14215606,4.052725935,2.660212539,0.942455035,0.002412499,2.012870928,1.45984431,0.844098178,0.446125485
3/1/2013,4.32394531,8.204443844,8.729948056,9.08161314,8.198227005,4.08987944,2.617926352,0.986401069,0.002452273,1.988248811,1.452359445,0.845732172,0.452527189
4/1/2013,4.383650002,8.171251982,8.85123421,9.133956923,8.172108063,4.074216504,2.570679729,1.018690361,0.002880033,1.968301723,1.450847012,0.852671035,0.465117976
5/1/2013,4.470231082,8.169962177,8.922382583,9.132689307,8.111168196,4.054304472,2.479158743,1.052714118,0.00255533,1.971469271,1.45041373,0.862345107,0.492795203
6/1/2013,4.595072685,8.163151589,9.018659792,9.153566928,8.087822745,4.068992426,2.386590994,1.085517384,0.002299432,1.974354475,1.438102435,0.870131833,0.515394882
7/1/2013,4.690657542,8.134073071,9.143772219,9.082989624,8.070672342,4.020355636,2.302128868,1.091597867,0.002439227,1.911894799,1.42417383,0.882819133,0.527851002
8/1/2013,4.745321093,8.120046774,9.359841236,9.019589894,8.128214213,3.927265844,2.209670761,1.104473276,0.002216407,1.868512636,1.421396097,0.907309042,0.528899182
9/1/2013,4.781589422,8.158594761,9.710457044,9.089402687,8.2848561,3.885790871,2.21200999,1.096731773,0.002724111,1.865842854,1.422546953,0.914850377,0.514723227
10/1/2013,4.873470161,8.187219442,10.04741825,9.28543275,8.375466678,3.930156702,2.236283941,1.110237288,0.003580017,1.941900856,1.44319734,0.941017386,0.495308519
11/1/2013,4.988929941,8.22506775,10.30023612,9.650235026,8.457764138,4.070109251,2.266963858,1.133579232,0.003893616,2.055765297,1.453632989,0.946275022,0.482684656
12/1/2013,5.036214388,8.264652146,10.57513405,10.0402978,8.580896335,4.17349382,2.323088296,1.140457573,0.004188062,2.13687426,1.472640276,0.948980677,0.465983122
1/1/2014,5.144011391,8.259343824,10.83286003,10.24837345,8.678677267,4.253278092,2.372275409,1.163536558,0.004364384,2.179004059,1.473336148,0.951112783,0.453005225
2/1/2014,5.236347513,8.205703161,10.94588124,10.33753886,8.722442362,4.27815666,2.382428286,1.234916958,0.00422055,2.191550057,1.462255026,0.942904162,0.454541295
3/1/2014,5.305239099,8.114965474,10.98514467,10.42140255,8.827175306,4.245805826,2.380736127,1.278189659,0.003628925,2.171588956,1.443582123,0.93306207,0.453869588
